Position,Track,Artist,Album,Genre,Mood,Danceability,BPM,Total Plays,Image URL,Audio URL
1,Yebo Lapho (Gogo) (feat. DJ Maphorisa & Djy Biza),Felo Le Tee,Yebo Lapho (Gogo) (feat. DJ Maphorisa & Djy Biza),amapiano,Happy/Energetic,0.831,113.0,66,https://i.scdn.co/image/ab67616d0000b273aaf198ccdee7e2ea52cef725,https://open.spotify.com/embed/track/0NLRYW9HyqHcbyzfAwskKN
2,Not Like Us,Kendrick Lamar,Not Like Us,"conscious hip hop, hip hop, rap, west coast rap",Sad/Calm,0.898,101.061,96,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,https://open.spotify.com/embed/track/6AI3ezQ4o3HUoP6Dhudph3
3,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,"art pop, pop",Sad/Energetic,0.747,104.978,100,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://open.spotify.com/embed/track/6dOtVTDdiauQNBQEDOtlAB
4,KEHLANI,Jordan Adetunji,KEHLANI,irish hip hop,Sad/Energetic,0.645,160.017,88,https://i.scdn.co/image/ab67616d0000b273f2cd132495d61b0da6a900d2,https://open.spotify.com/embed/track/2hrycoFU1mZw6YPvMcn8yC
5,Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),Bassie,Kwelanga,amapiano,Happy/Energetic,0.79,113.006,62,https://i.scdn.co/image/ab67616d0000b273d97e6caed3d16e6f096d0b1e,https://open.spotify.com/embed/track/1gM44tVZ9pfUe9v35Stp31
6,eGoli (feat. Eltee & Novatron),CowBoii,eGoli (feat. Eltee & Novatron),,Happy/Calm,0.888,112.009,56,https://i.scdn.co/image/ab67616d0000b2738f1f710f60f68b77ecc8261b,https://open.spotify.com/embed/track/3mWu4sw2LsmNX4UBfhrvC1
7,Mfazi Wephepha (feat. Big Zulu & Zee Nxumalo),Wanitwa Mos,Mfazi Wephepha (feat. Big Zulu & Zee Nxumalo),amapiano,Happy/Energetic,0.9,113.006,51,https://i.scdn.co/image/ab67616d0000b2735dc27cc1609652bf74647793,https://open.spotify.com/embed/track/64e1w4LMyXcTLCFzR3xCRX
8,Ngathi Nguye,Umafikizolo,Ngathi Nguye,maskandi,Happy/Energetic,0.571,77.0,60,https://i.scdn.co/image/ab67616d0000b2739400ae6724cea42820c8c179,https://open.spotify.com/embed/track/3bqCtq5RcPzULlyqkFGVJ7
9,Ama Gear,Dlala Thukzin,031 Studio Camp,gqom,Happy/Energetic,0.769,118.008,58,https://i.scdn.co/image/ab67616d0000b273b7518e4bc968457e1c4a3a08,https://open.spotify.com/embed/track/0cnbEf12FLBWx9QnBlw1EL
10,Beautiful Things,Benson Boone,Fireworks & Rollerblades,singer-songwriter pop,Sad/Calm,0.472,105.029,91,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://open.spotify.com/embed/track/3xkHsmpQCBMytMJNiDf3Ii
